Liquidez (prop.),Tasa interés activa real (%),Var. ln IMAE,Morosidad proyectada (prop.)
27.936056414132803,-8.334116956455077,-14.498277358283929,1.9795902354837789
28.352054221008732,-8.334116956455077,-14.498277358283929,1.9879606416838447
28.768052027884654,-8.334116956455077,-14.498277358283929,1.996340196382223
29.184049834760582,-8.334116956455077,-14.498277358283929,2.004738048077214
29.600047641636507,-8.334116956455077,-14.498277358283929,2.0131633452671314
30.016045448512436,-8.334116956455077,-14.498277358283929,2.0216252364502822
30.432043255388365,-8.334116956455077,-14.498277358283929,2.0301328701249766
30.848041062264286,-8.334116956455077,-14.498277358283929,2.0386953947895203
31.264038869140215,-8.334116956455077,-14.498277358283929,2.047321958933149
31.680036676016137,-8.334116956455077,-14.498277358283929,2.056021030626637
32.096034482892065,-8.334116956455077,-14.498277358283929,2.064798547390407
32.51203228976799,-8.334116956455077,-14.498277358283929,2.0736598585767387
32.928030096643916,-8.334116956455077,-14.498277358283929,2.0826103135379057
33.344027903519844,-8.334116956455077,-14.498277358283929,2.091655261626185
33.760025710395766,-8.334116956455077,-14.498277358283929,2.1008000521938555
34.176023517271695,-8.334116956455077,-14.498277358283929,2.110049193874079
34.59202132414762,-8.334116956455077,-14.498277358283929,2.119400020314882
35.00801913102355,-8.334116956455077,-14.498277358283929,2.1288462303075955
35.424016937899474,-8.334116956455077,-14.498277358283929,2.1383814943343924
35.8400147447754,-8.334116956455077,-14.498277358283929,2.1479994828774274
36.25601255165133,-8.334116956455077,-14.498277358283929,2.157693866418872
36.67201035852725,-8.334116956455077,-14.498277358283929,2.167458315440889
37.08800816540318,-8.334116956455077,-14.498277358283929,2.177286500425641
37.5040059722791,-8.334116956455077,-14.498277358283929,2.1871720918552935
37.92000377915503,-8.334116956455077,-14.498277358283929,2.1971087602120094
38.33600158603095,-8.334116956455077,-14.498277358283929,2.207090175977956
38.75199939290688,-8.334116956455077,-14.498277358283929,2.2171100196135596
39.16799719978281,-8.334116956455077,-14.498277358283929,2.227163448886693
39.58399500665873,-8.334116956455077,-14.498277358283929,2.23724864875383
39.99999281353466,-8.334116956455077,-14.498277358283929,2.247364175097058
40.41599062041058,-8.334116956455077,-14.498277358283929,2.257508583798468
40.83198842728651,-8.334116956455077,-14.498277358283929,2.267680430740156
41.24798623416244,-8.334116956455077,-14.498277358283929,2.277878271804208
41.66398404103837,-8.334116956455077,-14.498277358283929,2.288100662872717
42.0799818479143,-8.334116956455077,-14.498277358283929,2.298346159827776
42.49597965479022,-8.334116956455077,-14.498277358283929,2.30861331855147
42.91197746166615,-8.334116956455077,-14.498277358283929,2.318900694925894
43.327975268542076,-8.334116956455077,-14.498277358283929,2.329206844833141
43.743973075418,-8.334116956455077,-14.498277358283929,2.3395303241552954
44.15997088229392,-8.334116956455077,-14.498277358283929,2.3498696887744526
44.57596868916985,-8.334116956455077,-14.498277358283929,2.3602234945727014
44.99196649604578,-8.334116956455077,-14.498277358283929,2.3705902974321313
45.4079643029217,-8.334116956455077,-14.498277358283929,2.3809686532348384
45.82396210979763,-8.334116956455077,-14.498277358283929,2.3913571178629063
46.239959916673556,-8.334116956455077,-14.498277358283929,2.4017542471984337
46.65595772354948,-8.334116956455077,-14.498277358283929,2.4121585971235047
47.0719555304254,-8.334116956455077,-14.498277358283929,2.42256872352021
47.48795333730133,-8.334116956455077,-14.498277358283929,2.4329831822706485
47.903951144177256,-8.334116956455077,-14.498277358283929,2.443400529256903
48.319948951053185,-8.334116956455077,-14.498277358283929,2.453819320361065
27.936056414132803,-7.874391878099103,-14.498277358283929,1.9713942684705146
28.352054221008732,-7.874391878099103,-14.498277358283929,1.9802251010084921
28.768052027884654,-7.874391878099103,-14.498277358283929,1.98906568556849
29.184049834760582,-7.874391878099103,-14.498277358283929,1.99792577417254
29.600047641636507,-7.874391878099103,-14.498277358283929,2.0068151188426633
30.016045448512436,-7.874391878099103,-14.498277358283929,2.0157434716008855
30.432043255388365,-7.874391878099103,-14.498277358283929,2.0247205844692275
30.848041062264286,-7.874391878099103,-14.498277358283929,2.0337562094697215
31.264038869140215,-7.874391878099103,-14.498277358283929,2.042860098621352
31.680036676016137,-7.874391878099103,-14.498277358283929,2.05204177629493
32.096034482892065,-7.874391878099103,-14.498277358283929,2.061309920212879
32.51203228976799,-7.874391878099103,-14.498277358283929,2.0706730113137213
32.928030096643916,-7.874391878099103,-14.498277358283929,2.0801395305359676
33.344027903519844,-7.874391878099103,-14.498277358283929,2.0897179588181434
33.760025710395766,-7.874391878099103,-14.498277358283929,2.099416777098749
34.176023517271695,-7.874391878099103,-14.498277358283929,2.1092430525876575
34.59202132414762,-7.874391878099103,-14.498277358283929,2.1191917872496253
35.00801913102355,-7.874391878099103,-14.498277358283929,2.1292518707807777
35.424016937899474,-7.874391878099103,-14.498277358283929,2.139412145273357
35.8400147447754,-7.874391878099103,-14.498277358283929,2.1496614528196054
36.25601255165133,-7.874391878099103,-14.498277358283929,2.1599886355117612
36.67201035852725,-7.874391878099103,-14.498277358283929,2.1703825354420685
37.08800816540318,-7.874391878099103,-14.498277358283929,2.1808319947027677
37.5040059722791,-7.874391878099103,-14.498277358283929,2.191325855386105
37.92000377915503,-7.874391878099103,-14.498277358283929,2.2018529595843184
38.33600158603095,-7.874391878099103,-14.498277358283929,2.2124021493896513
38.75199939290688,-7.874391878099103,-14.498277358283929,2.2229622894780663
39.16799719978281,-7.874391878099103,-14.498277358283929,2.2335255881018408
39.58399500665873,-7.874391878099103,-14.498277358283929,2.2440911049213685
39.99999281353466,-7.874391878099103,-14.498277358283929,2.2546587391095683
40.41599062041058,-7.874391878099103,-14.498277358283929,2.2652283898393626
40.83198842728651,-7.874391878099103,-14.498277358283929,2.275799956283671
41.24798623416244,-7.874391878099103,-14.498277358283929,2.2863733376154123
41.66398404103837,-7.874391878099103,-14.498277358283929,2.29694843300751
42.0799818479143,-7.874391878099103,-14.498277358283929,2.3075251416328793
42.49597965479022,-7.874391878099103,-14.498277358283929,2.3181033626644445
42.91197746166615,-7.874391878099103,-14.498277358283929,2.3286829952751273
43.327975268542076,-7.874391878099103,-14.498277358283929,2.3392639386378438
43.743973075418,-7.874391878099103,-14.498277358283929,2.3498460919255164
44.15997088229392,-7.874391878099103,-14.498277358283929,2.3604293543110675
44.57596868916985,-7.874391878099103,-14.498277358283929,2.3710136249674125
44.99196649604578,-7.874391878099103,-14.498277358283929,2.381598803067474
45.4079643029217,-7.874391878099103,-14.498277358283929,2.3921847877841746
45.82396210979763,-7.874391878099103,-14.498277358283929,2.402771478290432
46.239959916673556,-7.874391878099103,-14.498277358283929,2.413358773759169
46.65595772354948,-7.874391878099103,-14.498277358283929,2.4239465733633043
47.0719555304254,-7.874391878099103,-14.498277358283929,2.4345347762757554
47.48795333730133,-7.874391878099103,-14.498277358283929,2.445123281669449
47.903951144177256,-7.874391878099103,-14.498277358283929,2.455711988717302
48.319948951053185,-7.874391878099103,-14.498277358283929,2.4663007965922303
27.936056414132803,-7.414666799743131,-14.498277358283929,1.963198232597042
28.352054221008732,-7.414666799743131,-14.498277358283929,1.9724896354495658
28.768052027884654,-7.414666799743131,-14.498277358283929,1.9817913925079007
29.184049834760582,-7.414666799743131,-14.498277358283929,1.991113857977859
29.600047641636507,-7.414666799743131,-14.498277358283929,2.0004673860652447
30.016045448512436,-7.414666799743131,-14.498277358283929,2.0098623309758747
30.432043255388365,-7.414666799743131,-14.498277358283929,2.0193090469155632
30.848041062264286,-7.414666799743131,-14.498277358283929,2.0288178880901118
31.264038869140215,-7.414666799743131,-14.498277358283929,2.038399208708333
31.680036676016137,-7.414666799743131,-14.498277358283929,2.0480635876809545
32.096034482892065,-7.414666799743131,-14.498277358283929,2.057822439609611
32.51203228976799,-7.414666799743131,-14.498277358283929,2.067687373333044
32.928030096643916,-7.414666799743131,-14.498277358283929,2.07766999769
33.344027903519844,-7.414666799743131,-14.498277358283929,2.087781921519212
33.760025710395766,-7.414666799743131,-14.498277358283929,2.098034753659427
34.176023517271695,-7.414666799743131,-14.498277358283929,2.108438116790091
34.59202132414762,-7.414666799743131,-14.498277358283929,2.1189846830262216
35.00801913102355,-7.414666799743131,-14.498277358283929,2.129658537305147
35.424016937899474,-7.414666799743131,-14.498277358283929,2.140443697685101
