.smooth,.by,.fs,.derivative,.se,.crit,.lower_ci,.upper_ci,PC1_Ciclo,PC1_Moneda
s(PC1_Ciclo),NA,NA,0.01961307627069648,0.026934150173631426,1.9599639845400536,-0.03317688802381435,0.0724030405652073,-2.6782051233719377,NA
s(PC1_Ciclo),NA,NA,0.01960239413068396,0.02692036686228449,1.9599639845400536,-0.03316055536999917,0.0723653436313671,-2.6078119370823836,NA
s(PC1_Ciclo),NA,NA,0.01957035014603984,0.026879047928822758,1.9599639845400536,-0.03311161573317869,0.07225231602525836,-2.5374187507928294,NA
s(PC1_Ciclo),NA,NA,0.01951680845729392,0.026810095152251443,1.9599639845400536,-0.033030012463210794,0.07206362937779864,-2.4670255645032753,NA
s(PC1_Ciclo),NA,NA,0.01943240462824555,0.026701193224159068,1.9599639845400536,-0.032900972435351145,0.07176578169184224,-2.396632378213721,NA
s(PC1_Ciclo),NA,NA,0.019311450426431422,0.026545124677642976,1.9599639845400536,-0.03271603790687422,0.07133893875973706,-2.326239191924167,NA
s(PC1_Ciclo),NA,NA,0.019153946367897773,0.026342451351883015,1.9599639845400536,-0.03247630954629138,0.07078420228208693,-2.255846005634613,NA
s(PC1_Ciclo),NA,NA,0.01895989300681366,0.02609392925291665,1.9599639845400536,-0.03218326854403913,0.07010305455766644,-2.1854528193450586,NA
s(PC1_Ciclo),NA,NA,0.018729287946974878,0.025800524483144738,1.9599639845400536,-0.03183881082223269,0.06929738671618244,-2.1150596330555045,NA
s(PC1_Ciclo),NA,NA,0.018462088956191603,0.025463375458361272,1.9599639845400536,-0.03144520986701757,0.06836938777940077,-2.0446664467659503,NA
s(PC1_Ciclo),NA,NA,0.018150362571884453,0.02507128259084591,1.9599639845400536,-0.030988448352399577,0.06728917349616848,-1.9742732604763962,NA
s(PC1_Ciclo),NA,NA,0.017786955835908433,0.024614950257171527,1.9599639845400536,-0.03045746014939269,0.06603137182120955,-1.903880074186842,NA
s(PC1_Ciclo),NA,NA,0.017368612340194704,0.02409076501973048,1.9599639845400536,-0.029848419458494396,0.0645856441388838,-1.833486887897288,NA
s(PC1_Ciclo),NA,NA,0.01689087443023722,0.023492680341673625,1.9599639845400536,-0.029153932939755205,0.06293568180022965,-1.763093701607734,NA
s(PC1_Ciclo),NA,NA,0.016352217887115925,0.02282089949164705,1.9599639845400536,-0.028375923211320715,0.061080358985552564,-1.6927005153181798,NA
