Var_ln_IMAE,Var_ln_IPC,Tiempo,Mes,Var_Morosidad,Var_Tasa_interes_activa,Var_Liquidez
289.6593661836899,1967.6183860084159,2,5,5.525935505202549e-4,-0.15000000000000036,-0.009262230920438597
505.46090871696595,2077.465223058663,3,6,-7.868127389973403e-4,-0.05000000000000071,-0.01028717781004862
320.2550867018505,2121.4116956455077,4,7,-6.504309102885256e-4,0.3600000000000012,-0.013724117311485262
221.28087705219448,2144.3632234828056,5,8,0.002361308644947893,0.8199999999999985,-0.002097271296800707
615.4275865946435,2053.1883992825065,6,9,8.574499426706322e-4,-1.0399999999999991,0.0048573896680551565
-30.576813260028096,1847.0770308581664,7,10,-0.0012821614587218838,0.3200000000000003,-0.001424924062436661
-725.0092295911426,1434.3925509388012,8,11,-0.001053683320865563,0.7400000000000002,-5.212297435030488e-4
-84.2393996762425,1290.7805583197173,9,12,7.868718678005551e-4,-0.14000000000000057,0.01080295383975749
-600.9201356523608,1173.9376250039602,10,1,-0.001493318563053174,0.14000000000000057,0.020204080550193848
-514.6899940438043,1023.5206207077583,11,2,-0.0029265974023025866,1.129999999999999,0.008070649132981444
-479.3562443504218,811.9506601984039,12,3,0.0019428692430628232,-0.379999999999999,-0.008800053642661065
-1132.4106592553915,665.419961873388,13,4,-9.885744620006902e-4,-0.11000000000000121,0.003970117189902533
-324.68567169570576,401.2310180978318,14,5,0.0024918644217305497,-0.3699999999999992,7.500487733871908e-4
-449.96200768390605,193.89809291451948,15,6,-2.3385032908554773e-4,0.15000000000000036,0.021508078138783138
-258.9715495521805,7.640003427615838,16,7,3.201596547137142e-4,-0.16000000000000014,0.006381940105670225
-246.6962434885644,-12.174708549927898,17,8,0.002153955082860086,-0.5899999999999999,0.018930211967111366
-399.7614716313347,0.7588117012424789,18,9,0.0034625311619516097,0.8099999999999987,0.0021410473448486567
-445.9518920203108,42.414666328482994,19,10,0.002844659713466542,-0.46999999999999886,-0.005385536624808895
568.7844355804206,46.15451011016341,20,11,-3.7484110898854117e-4,-0.2900000000000009,0.012746844125714252
168.60693848729898,93.06615804711701,21,12,-0.00431393070118119,0.8300000000000001,0.025448441619190354
225.17320482040583,183.6709517615364,22,1,-1.4165946171992155e-4,-0.3099999999999987,0.008108917213055733
247.93019237375978,270.4982179792736,23,2,-7.447809034640956e-4,-0.02000000000000135,0.0033139481044432983
622.561309116172,433.18685352465627,24,3,-8.022303570650105e-4,-0.20999999999999908,-0.00828362131226068
246.35269066496147,473.5227128554786,25,4,0.00258584450425222,0.17999999999999972,0.004341348494469488
294.3450057505092,457.08676172582227,26,5,0.002322680117225577,-0.9299999999999997,0.007171739877066097
478.69632786704307,452.5995004833394,27,6,-2.567241645906257e-4,4.009999999999998,-0.00862664282981701
448.89183978650493,601.6629165792687,28,7,-7.659966462008547e-4,-4.249999999999998,6.68555190291853e-4
420.80391850026535,519.9732547010872,29,8,-0.00892509626706732,0.3100000000000005,-0.03597685299876352
535.1866200820332,528.3243860893716,30,9,-0.002177275086273363,0.379999999999999,0.005450290627557475
653.5082454723452,701.1586450694906,31,10,-0.0013388253985128669,-0.1999999999999993,-0.00857511734200489
641.7228784287144,842.2069215409955,32,11,-0.001772223257456039,-1.5199999999999996,5.192431525108954e-4
349.8231829374632,882.4699428114524,33,12,0.009143902393591325,-1.5500000000000007,-0.00997460219267865
524.4783539958053,771.2954034720543,34,1,0.0028353097793294285,1.0099999999999998,0.011617630485965091
324.7695692139896,697.7676256623777,35,2,5.13686034682298e-5,-0.15000000000000036,0.02134500335992484
792.6013296293099,652.3363289454753,36,3,-0.0012453223585831008,0.13000000000000078,-0.029636064618801194
584.9280676468017,686.9803522768958,37,4,-4.6315618402564124e-4,-1.75,0.009060125201578173
891.8060017786634,796.4649236160692,38,5,6.378544779053058e-5,0.5899999999999999,-0.005024665347469259
753.0390348727067,863.3408323596292,39,6,-0.001435972410878443,-0.20000000000000107,0.017914501439501962
801.9467883895181,811.1527170172205,40,7,-4.0546334017542776e-4,0.2900000000000009,-0.0025671322777723327
686.1928523540062,925.7951073901883,41,8,-0.001191418470286837,-0.27999999999999936,-0.020176213240662544
