PC1_Moneda,.derivative,.se,.lower_ci,.upper_ci
-4.479204629792843,-0.048930428862019246,0.02486445845016877,-0.09766387191944263,-1.969858045958589e-4
-4.39872689417022,-0.04795531423813449,0.024010123508646408,-0.09501429157943991,-8.963368968290669e-4
-4.318249158547596,-0.046892433055295106,0.023102536821153194,-0.09217257317626582,-0.00161229293432439
-4.237771422924973,-0.04574477149616973,0.022155714674147852,-0.08916917430924509,-0.002320368683094369
-4.157293687302349,-0.04451466425555415,0.021181390768960407,-0.0860294273051857,-0.0029999012059225977
-4.076815951679727,-0.04320721306158139,0.020196613287996205,-0.08279184771573703,-0.003622578407425754
-3.996338216057103,-0.04182332567444555,0.019209221386832016,-0.07947270776369283,-0.004173943585198257
-3.9158604804344797,-0.04036645722717726,0.018231717375150277,-0.07609996665878492,-0.004632947795569595
-3.8353827448118567,-0.038842838836131224,0.017280729635240955,-0.07271244654777748,-0.0049732311244849725
-3.7549050091892333,-0.037252601023077564,0.01636361490830501,-0.06932469690023807,-0.005180505145917051
-3.67442727356661,-0.035595738416376546,0.015489126531138667,-0.06595386856939214,-0.005237608263360945
-3.5939495379439865,-0.033872257438566464,0.014667894545073982,-0.06262080247594298,-0.005123712401189945
-3.513471802321363,-0.032083775382234704,0.013913629968700046,-0.05935398901510395,-0.0048135617493654595
-3.4329940666987397,-0.030241084380641277,0.013245175554562361,-0.05620115143649383,-0.004281017324788718
-3.3525163310761164,-0.028346185037389685,0.012672643782200864,-0.05318411043940882,-0.003508259635370544
-3.272038595453493,-0.026399076247025886,0.012204354865023742,-0.05031917223701861,-0.0024789802570331643
-3.19156085983087,-0.024399753051424417,0.01184761168384179,-0.047620645254570264,-0.0011788608482785692
-1.26009520488791,0.030161592103255357,0.014793412174444954,0.001167037032886887,0.05915614717362383
-1.1796174692652865,0.032116423190628456,0.014634871892362282,0.003432601363240844,0.060800245018016064
-1.0991397336426632,0.03393105256599575,0.01443791700251413,0.005633255229289567,0.06222884990270193
-1.0186619980200398,0.035588978696903965,0.014208356244494921,0.007741112178179146,0.06343684521562878
-0.9381842623974164,0.037083734427955074,0.013955191758649042,0.00973206118365278,0.06443540767225736
-0.8577065267747939,0.03841269954729888,0.013691180821330704,0.01157847823166519,0.06524692086293257
-0.7772287911521705,0.03957111887256136,0.013431836473674973,0.013245203137926934,0.06589703460719579
-0.6967510555295471,0.04054666299766669,0.013193036166373183,0.014688787264840873,0.06640453873049251
-0.6162733199069237,0.04132454524212325,0.012987388525189615,0.015869731479522843,0.06677935900472365
-0.5357955842843003,0.04189131917877634,0.012821712691957825,0.0167612240824189,0.06702141427513378
-0.4553178486616769,0.04224093629542225,0.012699885461101007,0.017349618183880422,0.06713225440696408
-0.3748401130390535,0.0423690047471535,0.012620852748363338,0.017632587906178006,0.06710542158812899
-0.2943623774164301,0.042274289202200846,0.012579674926631208,0.017618579408782135,0.06692999899561955
-0.21388464179380673,0.041959813274848934,0.012565670658190255,0.017331551343204323,0.06658807520649354
-0.13340690617118334,0.04143375433786251,0.012561807983433669,0.016813063109624802,0.06605444556610023
-0.052929170548559945,0.040711199683205496,0.012549654413478854,0.016114329014362813,0.06530807035204818
0.027548565074063447,0.03981496973175502,0.012509925303067115,0.015295966688457164,0.06433397277505289
0.10802630069668684,0.03876534343739398,0.01243277845696319,0.014397545433980669,0.0631331414408073
0.18850403631930934,0.03757965296582575,0.01231929120785431,0.013434285883370367,0.061725020048281135
0.26898177194193273,0.03628066552313508,0.012183268270441213,0.012401898499080712,0.060159432547189445
0.3494595075645561,0.03489639621559118,0.012050343418116826,0.011278157114742917,0.05851463531643944
0.4299372431871795,0.033453292438864066,0.011955821030428304,0.010020313813618037,0.056886271064110094
0.5104149788098029,0.0319660039602285,0.011941292308816846,0.00856150110608234,0.055370506814374665
0.5908927144324263,0.030446906844368918,0.012054178069338426,0.006821151965233047,0.05407266172350479
0.6713704500550497,0.02892022615796513,0.012341695627514493,0.004730947219881269,0.05310950509604899
0.7518481856776731,0.02741095514349441,0.01283420562843296,0.0022563743415845647,0.05256553594540426
