fecha,tasa_interes_activo,ratio_morosidad_prop,ratio_liquidez_prop,d_ln_imae,d_ln_ipc,tiempo,mes,tasa_interes_activo_real,crisis_2008,crisis_2018,crisis_covid
2008-04-01,0.1272,0.03046422508709062,0.3260101894195648,0.1398623490221622,0.17690974456759534,1,4,-0.04970974456759533,1,0,0
2008-05-01,0.1257,0.031016818637610875,0.3167479584991262,0.02896593661836899,0.1967618386008416,2,5,-0.07106183860084159,1,0,0
2008-06-01,0.1252,0.030230005898613535,0.30646078068907756,0.05054609087169659,0.20774652230586632,3,6,-0.08254652230586632,1,0,0
2008-07-01,0.1288,0.02957957498832501,0.2927366633775923,0.03202550867018505,0.21214116956455076,4,7,-0.08334116956455076,1,0,0
2008-08-01,0.13699999999999998,0.0319408836332729,0.2906393920807916,0.022128087705219446,0.21443632234828056,5,8,-0.07743632234828057,1,0,0
2008-09-01,0.1266,0.032798333575943535,0.29549678174884675,0.06154275865946435,0.20531883992825065,6,9,-0.07871883992825066,1,0,0
2008-10-01,0.1298,0.03151617211722165,0.2940718576864101,-0.0030576813260028094,0.18470770308581663,7,10,-0.054907703085816634,1,0,0
2008-11-01,0.13720000000000002,0.030462488796356088,0.29355062794290704,-0.07250092295911426,0.1434392550938801,8,11,-0.006239255093880097,1,0,0
2008-12-01,0.1358,0.031249360664156643,0.30435358178266453,-0.00842393996762425,0.12907805583197174,9,12,0.0067219441680282654,1,0,0
2009-01-01,0.13720000000000002,0.02975604210110347,0.3245576623328584,-0.06009201356523608,0.11739376250039602,10,1,0.019806237499604,1,0,0
2009-02-01,0.1485,0.026829444698800883,0.3326283114658398,-0.05146899940438043,0.10235206207077584,11,2,0.046147937929224156,1,0,0
2009-03-01,0.1447,0.028772313941863706,0.32382825782317876,-0.04793562443504218,0.08119506601984039,12,3,0.0635049339801596,1,0,0
2009-04-01,0.1436,0.027783739479863016,0.3277983750130813,-0.11324106592553916,0.0665419961873388,13,4,0.0770580038126612,1,0,0
2009-05-01,0.1399,0.030275603901593565,0.3285484237864685,-0.03246856716957058,0.04012310180978318,14,5,0.09977689819021682,1,0,0
2009-06-01,0.1414,0.030041753572508018,0.3500565019252516,-0.04499620076839061,0.01938980929145195,15,6,0.12201019070854804,1,0,0
2009-07-01,0.1398,0.030361913227221732,0.35643844203092184,-0.02589715495521805,7.640003427615838e-4,16,7,0.13903599965723842,1,0,0
2009-08-01,0.13390000000000002,0.03251586831008182,0.3753686539980332,-0.02466962434885644,-0.00121747085499279,17,8,0.13511747085499282,1,0,0
2009-09-01,0.142,0.03597839947203343,0.37750970134288186,-0.03997614716313347,7.588117012424789e-5,18,9,0.14192411882987574,1,0,0
2009-10-01,0.1373,0.03882305918549997,0.37212416471807297,-0.04459518920203109,0.0042414666328483,19,10,0.1330585333671517,1,0,0
2009-11-01,0.1344,0.03844821807651143,0.3848710088437872,0.05687844355804206,0.00461545101101634,20,11,0.12978454898898364,1,0,0
2009-12-01,0.1427,0.03413428737533024,0.4103194504629776,0.0168606938487299,0.0093066158047117,21,12,0.1333933841952883,1,0,0
2010-01-01,0.1396,0.03399262791361032,0.4184283676760333,0.02251732048204058,0.01836709517615364,22,1,0.12123290482384635,1,0,0
2010-02-01,0.1394,0.03324784701014622,0.4217423157804766,0.02479301923737598,0.02704982179792736,23,2,0.11235017820207263,1,0,0
2010-03-01,0.1373,0.03244561665308121,0.4134586944682159,0.06225613091161719,0.04331868535246563,24,3,0.09398131464753437,1,0,0
2010-04-01,0.1391,0.03503146115733343,0.4178000429626854,0.024635269066496147,0.04735227128554786,25,4,0.09174772871445214,1,0,0
2010-05-01,0.1298,0.03735414127455901,0.4249717828397515,0.029434500575050915,0.04570867617258223,26,5,0.08409132382741777,1,0,0
2010-06-01,0.1699,0.03709741710996838,0.4163451400099345,0.04786963278670431,0.04525995004833394,27,6,0.12464004995166605,1,0,0
2010-07-01,0.1274,0.03633142046376753,0.41701369520022635,0.04488918397865049,0.06016629165792686,28,7,0.06723370834207315,1,0,0
2010-08-01,0.1305,0.027406324196700207,0.38103684220146283,0.04208039185002654,0.05199732547010871,29,8,0.07850267452989129,1,0,0
2010-09-01,0.1343,0.025229049110426845,0.3864871328290203,0.05351866200820332,0.05283243860893716,30,9,0.08146756139106284,1,0,0
2010-10-01,0.1323,0.023890223711913978,0.3779120154870154,0.06535082454723451,0.07011586450694907,31,10,0.062184135493050935,1,0,0
2010-11-01,0.11710000000000001,0.02211800045445794,0.3784312586395263,0.06417228784287143,0.08422069215409955,32,11,0.03287930784590046,1,0,0
