PC1_Ciclo,.derivative,.se,.lower_ci,.upper_ci
0.41909507336844465,0.02208232880544151,0.011249684251951624,3.335283416891488e-5,0.044131304776714106
0.4894882596579988,0.024374681775244898,0.011586978098073832,0.0016646220133657783,0.04708474153712402
0.559881445947553,0.026753327764498788,0.011997730750980101,0.0032382075963691,0.050268447932628475
0.6302746322371071,0.02920732123336767,0.012465069516492915,0.004776233916253456,0.05363840855048188
0.7006678185266608,0.03171799031264392,0.012967143818012263,0.006302855446988682,0.05713312517829916
0.771061004816215,0.034249112223858916,0.013469775227608644,0.007848837897896171,0.06064938654982166
0.8414541911057691,0.03678059157224695,0.013944598590280364,0.009449680556429436,0.06411150258806447
0.9118473773953233,0.039286743415691855,0.014365267942752263,0.011131335619629631,0.06744215121175408
0.9822405636848774,0.04174124790131211,0.014709356875960332,0.012911438188683264,0.07057105761394096
1.0526337499744316,0.04412271922095243,0.01496119945519711,0.014799307123245821,0.07344613131865904
1.1230269362639858,0.04642061992544598,0.015112270058226154,0.0168011148866797,0.07604012496421225
1.19342012255354,0.04862823420021828,0.015159831284840969,0.018915510870226412,0.07834095753021014
1.263813308843094,0.05074024861705497,0.015108232937137771,0.02112865619022315,0.08035184104388679
1.3342064951326487,0.05275326479397671,0.014964624238496696,0.02342314024434806,0.08208338934360536
1.4045996814222024,0.05466641111189595,0.014739036354793253,0.02577843068967466,0.08355439153411724
1.474992867711757,0.05647972140995928,0.014444932220012925,0.028168174499611745,0.08479126832030681
1.5453860540013107,0.058194116936850684,0.014095249067220055,0.03056793641197759,0.08582029746172377
1.6157792402908653,0.059812589976989794,0.013712024379755803,0.032937516037533254,0.08668766391644633
1.686172426580419,0.061338079193025474,0.013316312294388887,0.03523858668913533,0.08743757169691563
1.7565656128699736,0.06277103409645855,0.012921604618579982,0.03744515442157537,0.08809691377134174
1.8269587991595273,0.064113260154485,0.012547133593639319,0.03952133020173932,0.08870519010723069
1.897351985449081,0.06537010134285154,0.012220804569906627,0.041417764523732054,0.08932243816197102
1.9677451717386356,0.06654845261662051,0.011970323934196473,0.04308704882231762,0.0900098564109234
2.0381383580281893,0.06765395549534793,0.011815899455408237,0.044495218117801355,0.09081269287289451
2.108531544317744,0.0686875494896439,0.011766637046943093,0.0456253646584807,0.09174973432080709
2.1789247306072976,0.06965447675778674,0.011831018151025295,0.04646610728133751,0.09284284623423597
2.2493179168968522,0.07055647720043898,0.01200811120786311,0.04702101171067552,0.09409194269020243
2.319711103186406,0.07139354971434059,0.012292263918184262,0.04730115514623823,0.09548594428244295
2.3901042894759605,0.0721689955171694,0.012675323720535776,0.04732581753253305,0.09701217350180576
2.4604974757655143,0.07288866092695048,0.013144381947398942,0.047126145711010106,0.09865117614289086
2.530890662055069,0.07355265442398702,0.01368490615298105,0.04673073123233359,0.10037457761564045
2.6012838483446226,0.074160980545681085,0.014283489589473937,0.04616585537675937,0.10215610571460279
2.671677034634177,0.0747136339099891,0.014928239552405003,0.045454822034688966,0.10397244578528923
2.742070220923731,0.07521062060496436,0.015608892635889186,0.044617753200069096,0.10580348800985963
2.8124634072132855,0.07565193706785894,0.016316751233203208,0.04367169230608115,0.10763218182963674
2.882856593502839,0.07603799234023824,0.01704418676458669,0.042632000135874065,0.10944398454460241
2.953249779792394,0.07637668557734005,0.017777643908899046,0.04153314378592007,0.11122022736876003
3.0236429660819475,0.0766710202821142,0.018507456313552776,0.04039707246210233,0.11294496810212606
3.094036152371502,0.07692101228565769,0.01922769742120976,0.0392354178344529,0.11460660673686249
3.164429338661056,0.07712665116590753,0.01993356982150443,0.038057572232444346,0.1161957300993707
3.2348225249506104,0.07728794219007859,0.02062114110355097,0.03687124830700016,0.11770463607315702
3.305215711240164,0.07740505965745904,0.021287058746200842,0.035683191178117045,0.11912692813680104
3.3756088975297187,0.07748483476655649,0.021922594561657578,0.03451733897803399,0.12045233055507898
3.4460020838192724,0.07753706344678202,0.022516563537868444,0.0334054098569521,0.12166871703661195
3.516395270108827,0.07756511608608017,0.02306327343387907,0.032361930790077785,0.12276830138208256
3.5867884563983807,0.07757500225052338,0.023556243552769137,0.031405613276042035,0.12374439122500473
3.6571816426879353,0.07756887480262857,0.023991725343783073,0.030545957201836914,0.12459179240342022
3.727574828977489,0.07754752462907988,0.0243677095887147,0.029787691449467746,0.125307357808692
3.7979680152670436,0.07751894037815443,0.02468229722770635,0.029142526756137176,0.12589535400017168
3.8683612015565974,0.07748913193221525,0.02493558587050058,0.028616281692628275,0.12636198217180222
3.938754387846152,0.07746058994777891,0.025128479535989526,0.028209675070987678,0.12671150482457014
4.009147574135706,0.07743583049326766,0.025266099708023973,0.02791518503574271,0.12695647595079262
4.079540760425259,0.07741662212656526,0.025358049885210912,0.027715757633381834,0.1271174866197487
4.149933946714814,0.07740340871676932,0.025415696081670314,0.027589559754679742,0.12721725767885889
4.220327133004368,0.07739551238965309,0.025449770281156973,0.02751487922376763,0.12727614555553854
4.290720319293922,0.0773928798436786,0.02546113506907008,0.027489972102791513,0.12729578758456567
