Secretaría Ejecutiva del Consejo Monetario Centroamericano
Tipos de cambio
Índice tipo de cambio efectivo real
Unidad de medida: Niveles del índice y variaciones en porcentajes
Fechas,Nicaragua
,Datos no ajustados estacionalmente ni ajustados por calendario
,ITCER con USA
01-04-2023,107.54
01-05-2023,107.09
01-06-2023,106.46
01-07-2023,106.99
01-08-2023,107.45
01-09-2023,108.13
01-10-2023,108.07
01-11-2023,107.93
01-12-2023,106.57
01-01-2024,106.79
01-02-2024,106.94
01-03-2024,106.23
01-04-2024,106.11
01-05-2024,105.49
01-06-2024,105.17
01-07-2024,105.17
01-08-2024,105.90
01-09-2024,107.00
01-10-2024,107.30
01-11-2024,107.18
01-12-2024,106.96
01-01-2025,107.45
01-02-2025,106.45
01-03-2025,106.69
01-04-2025,106.89
01-05-2025,106.79
01-06-2025,107.29
01-07-2025,107.65
01-08-2025,107.77
01-09-2025,107.77
01-10-2025,107.91
01-11-2025,107.29
01-12-2025,107.11
01-01-2026,106.72
01-02-2026,106.33
01-03-2026,106.74
01-04-2026,106.96
01-05-2026,107.56
01-06-2026,106.97
